X	Y	Z
1.774179	0.50524511	1.0
0.26195026	-0.33614716	-1.0
0.7342011	1.0166408	1.0
-0.81878379	-0.28187128	-1.0
0.5829523	-1.5164203	1.0
1.7064618	-0.79457687	1.0
1.4031614	0.85686008	1.0
-1.4903655	0.51018101	1.0
1.5196567	-1.1410162	1.0
-0.44420692	-1.4579781	1.0
-0.84511025	-1.5291968	1.0
0.77955339	-1.1734841	1.0
0.18176226	1.5733517	1.0
1.5365769	0.30311531	1.0
-0.17258221	0.59003352	-1.0
-0.38308909	0.17157798	-1.0
-0.16773684	0.17827519	-1.0
-0.55069939	-0.95766912	1.0
-0.44658771	-0.96799063	1.0
-0.90209719	-0.27792015	-1.0
1.0731344	-1.479546	1.0
0.0076999734	-1.1244829	1.0
-0.10234824	0.85817442	-1.0
-0.70777363	1.7459562	1.0
-0.94146097	0.47669593	1.0
-0.22272169	0.94837301	-1.0
1.4088427	-0.32500523	1.0
0.61868557	1.5508628	1.0
-0.018721428	-0.99468649	-1.0
0.37941866	0.039996429	-1.0
-0.57303252	-1.2599598	1.0
-0.069508455	-1.3712783	1.0
-0.71391601	-0.34443136	-1.0
0.33643907	-1.0668335	1.0
-0.80758006	-1.3891065	1.0
1.4725399	-0.12756577	1.0
-0.38887713	1.5443308	1.0
-0.50758001	0.44183259	-1.0
-1.4612207	-0.78161627	1.0
-0.52222895	0.69095675	-1.0
-0.40454871	-0.75370348	-1.0
0.081618609	-0.43162615	-1.0
-0.98544221	1.6722491	1.0
0.80225171	-0.25647505	-1.0
-0.49043949	-0.95509489	1.0
-0.29056588	0.19960569	-1.0
-1.991691	0.094878383	1.0
0.13477377	0.01114931	-1.0
1.4174239	-0.17605111	1.0
-1.9762765	0.11176883	1.0
1.0301792	-1.6989703	1.0
-0.76588477	0.353476	-1.0
1.1042234	-1.2750443	1.0
0.70522843	-0.25235506	-1.0
-0.1763655	-0.34003498	-1.0
0.22760982	-0.95823471	-1.0
-0.88265687	-0.078821854	-1.0
-0.79178202	-0.88996024	1.0
-0.91853917	-0.88803075	1.0
-0.34065817	-0.37901241	-1.0
-0.0096650909	0.75656798	-1.0
-1.6826042	0.24013931	1.0
0.17475783	-0.39461362	-1.0
-0.59015568	-1.3113984	1.0
0.8536589	0.38742543	-1.0
-0.5286194	0.33972343	-1.0
0.11824784	-0.039379231	-1.0
-0.61708358	-0.26472966	-1.0
-0.63922885	0.32748053	-1.0
0.85880762	0.41019382	-1.0
1.384637	-0.26830147	1.0
-1.9093267	-0.53897139	1.0
-0.92587342	1.7665959	1.0
1.141514	1.200022	1.0
-0.85488403	-0.13908886	-1.0
-1.3478933	0.2545016	1.0
0.65060223	1.1445788	1.0
-0.98988216	-1.369648	1.0
0.48934502	-1.3137838	1.0
-0.66334358	0.33094292	-1.0
0.41393002	-1.6982876	1.0
1.6599896	-0.3795555	1.0
-0.34188443	-0.066771953	-1.0
0.8458394	-0.28485853	-1.0
0.51455716	0.012267486	-1.0
0.78475636	-0.74945919	1.0
-0.0042088679	0.0098315944	-1.0
-1.2907293	-1.4154505	1.0
0.34087774	0.85476966	-1.0
1.160184	0.90586611	1.0
-0.75078019	0.99951928	1.0
0.23566185	-0.103915	-1.0
-0.88036237	-1.2279892	1.0
0.66634872	0.28706326	-1.0
-1.0234386	1.3499314	1.0
0.048130815	0.8918084	-1.0
1.2654602	1.3593887	1.0
0.34519001	-0.70205059	-1.0
-0.037370322	-0.25559432	-1.0
1.2829933	-1.0813318	1.0
0.48990064	1.6831754	1.0
0.56444458	-1.8771068	1.0
0.27526146	-0.6644537	-1.0
0.95365927	0.082701568	-1.0
-1.5099398	1.2553434	1.0
0.71111659	1.4499444	1.0
-0.87021644	-1.1893506	1.0
-0.067796094	0.90653775	-1.0
0.91111982	1.0848281	1.0
-0.31944466	0.1062875	-1.0
-0.11207409	-1.4830523	1.0
1.8361461	0.51413156	1.0
-0.31728551	1.2102624	1.0
1.2835128	1.0614878	1.0
0.69948865	1.4507167	1.0
-1.065786	-1.6901347	1.0
0.93920811	-0.14741124	-1.0
1.7038245	-0.59321429	1.0
0.73731143	-1.0759544	1.0
-0.6629621	1.4251551	1.0
1.8879002	-0.55878489	1.0
0.15350368	0.46202121	-1.0
0.33684403	0.72133408	-1.0
-0.27140704	-0.077228849	-1.0
-0.74321535	1.0012891	1.0
0.049177181	-0.25321549	-1.0
0.73737004	0.27944886	-1.0
-0.08504415	-0.14196861	-1.0
0.65332868	0.35972472	-1.0
-0.1875715	-0.60131889	-1.0
0.11199581	0.61833045	-1.0
-0.34809392	0.7359011	-1.0
1.1834741	-0.29143136	1.0
0.0078707831	-0.13606709	-1.0
0.28752241	-1.6795496	1.0
0.63454487	-1.5105716	1.0
0.25271189	0.69461033	-1.0
0.96444702	-0.16652768	-1.0
-0.60946251	-0.65690082	-1.0
0.55348398	-0.08414076	-1.0
-0.5490111	0.68517934	-1.0
0.12571977	-0.10944354	-1.0
-1.2510622	-1.1096423	1.0
-0.29958279	-0.23875938	-1.0
0.24265187	0.16175377	-1.0
-0.90381823	-0.7429515	1.0
-0.40323175	0.3670634	-1.0
-0.28308022	-0.67510147	-1.0
-0.045994221	1.8604436	1.0
-0.20178748	0.93578185	-1.0
1.1780292	-0.82333194	1.0
0.64594502	0.56085243	-1.0
-0.037976809	0.11184514	-1.0
0.78664153	1.7048183	1.0
-0.65741169	0.29465487	-1.0
-0.8176381	0.3606552	-1.0
0.39085966	1.0555678	1.0
-0.13280346	-1.9887459	1.0
0.73521882	0.60343968	-1.0
-1.616933	-0.98974045	1.0
0.60492714	0.29405438	-1.0
-0.94750488	-0.8829809	1.0
-0.019856902	0.0027799903	-1.0
-1.7022215	0.62774216	1.0
0.082446927	0.38729046	-1.0
1.6842295	0.86230577	1.0
0.67447228	-0.28060736	-1.0
0.17088362	-0.59405517	-1.0
-0.53200991	-0.72412481	-1.0
-1.2950397	-0.22703957	1.0
-0.65738168	1.5345112	1.0
-0.77653792	0.041291176	-1.0
0.20840997	0.24452258	-1.0
0.51586783	-0.729715	-1.0
0.57811016	0.17981029	-1.0
-0.32911374	-0.37954031	-1.0
-0.77226133	-0.52915176	-1.0
-0.1908863	0.20481533	-1.0
-0.26345423	1.2193168	1.0
-0.026220204	0.17395835	-1.0
-0.33830184	-0.16105528	-1.0
-0.2649736	0.42093352	-1.0
0.57134654	0.6110004	-1.0
-0.21478103	1.7966786	1.0
0.47899725	-0.37029486	-1.0
-0.11925759	-0.36410164	-1.0
-0.81869858	0.014147024	-1.0
1.0225347	-0.97157422	1.0
1.5200096	0.27259858	1.0
0.99286487	-1.4646785	1.0
-1.7590957	-0.44788144	1.0
0.082853622	0.090300931	-1.0
1.5506405	0.95612279	1.0
0.57157807	0.81440389	-1.0
-0.48228702	0.67276945	-1.0
-1.1811031	0.40107741	1.0
0.44984794	1.4610461	1.0
0.33890851	-0.9756821	1.0
-0.62180735	0.21667476	-1.0
-0.31473189	-1.3647849	1.0
-0.9931814	0.04951564	-1.0
-1.2975205	0.27920832	1.0
0.76395382	-0.099030364	-1.0
0.4874451	0.61717975	-1.0
0.28876288	0.70582817	-1.0
-0.29087926	-0.55952309	-1.0
0.12837194	0.45741664	-1.0
-1.688241	0.50396734	1.0
-0.088403001	0.2134185	-1.0
-0.02180444	0.96871618	-1.0
0.30504008	-0.20834052	-1.0
-1.452735	-0.021862793	1.0
-0.85396843	0.41478472	-1.0
-0.84111391	1.4510162	1.0
0.080011381	-0.72578472	-1.0
1.5251183	-0.98396862	1.0
-1.4068911	-1.2177425	1.0
0.44777132	-0.2525833	-1.0
0.39096972	1.1062423	1.0
0.22117169	0.2420273	-1.0
-0.96074834	0.2005621	-1.0
-0.86397953	-0.28726342	-1.0
-1.1788545	-0.042826519	1.0
-0.40915959	-0.76380661	-1.0
0.64223262	0.12710663	-1.0
0.68239553	0.11139503	-1.0
-0.59404608	-0.82667983	1.0
1.324771	-1.4378685	1.0
1.6791449	0.93350282	1.0
0.16093569	1.5692264	1.0
-0.6701372	0.097467684	-1.0
-0.94592901	0.092845154	-1.0
-0.36049222	0.36105465	-1.0
0.35349774	0.27987958	-1.0
0.68839868	-0.5813484	-1.0
-1.0919018	-1.1341927	1.0
-0.83822402	-0.66331989	1.0
-1.0779388	0.22287687	1.0
-0.11695033	1.8985208	1.0
1.3210674	1.0626593	1.0
0.64155065	0.050912027	-1.0
-0.82340036	-0.40834581	-1.0
-0.65416961	0.65342181	-1.0
0.42350955	0.15840426	-1.0
1.4507464	1.3448364	1.0
1.2830482	0.43447874	1.0
0.76970879	0.5167569	-1.0
0.50757107	-0.86005491	-1.0
1.3433812	-0.16045692	1.0
0.24477731	-1.3620081	1.0
-0.21332784	-0.66689186	-1.0
-0.24304036	-0.59731072	-1.0
-0.42549708	-0.66441564	-1.0
0.35150091	0.74447834	-1.0
0.22716621	0.41284943	-1.0
-1.6296728	-0.8160363	1.0
1.4529989	0.92735668	1.0
0.049557387	-0.95191363	-1.0
-0.39031409	-1.0312597	1.0
-0.09228456	1.8593095	1.0
1.6721755	-0.82779051	1.0
0.31658748	0.045899881	-1.0
-1.6472465	0.43896676	1.0
-0.39711058	-0.19424898	-1.0
-0.18124376	1.8536882	1.0
0.8744586	1.1012502	1.0
-1.3931661	0.93039734	1.0
0.085865508	0.044448762	-1.0
1.2945132	-0.083837125	1.0
-0.28386535	-0.02990703	-1.0
-0.8797012	0.00037380698	-1.0
-0.59876407	-0.76555623	-1.0
1.60325	-0.015981573	1.0
0.4204493	-0.63658194	-1.0
-0.67387931	-0.07594042	-1.0
-0.030250517	1.6153606	1.0
-1.9376591	-0.18799977	1.0
0.9832293	-0.34663917	1.0
-0.30683559	-0.38995254	-1.0
-0.75458193	-1.1133599	1.0
-0.16316618	0.031349817	-1.0
-1.6116349	1.026596	1.0
0.49132737	0.7906995	-1.0
0.37480715	0.85701881	-1.0
-0.31932488	0.23613914	-1.0
0.23930503	-1.8178348	1.0
-1.4279832	-1.3248415	1.0
-0.53476277	0.81476056	-1.0
-0.044107753	1.053277	1.0
0.19758696	0.93607356	-1.0
-0.231798	-0.83607729	-1.0
0.62907274	0.7446097	-1.0
-0.90895095	0.21617249	-1.0
1.070822	-1.2278578	1.0
-0.23831553	0.83563622	-1.0
-0.68686125	0.91266974	1.0
0.10233761	1.9276314	1.0
-0.40023407	0.74611752	-1.0
0.93809709	1.0020229	1.0
0.35914245	-0.32462099	-1.0
-1.2167548	-1.486094	1.0
-0.23505994	-1.4942353	1.0
1.1201335	-1.5546129	1.0
-1.9318271	-0.4366714	1.0
1.1226381	-0.36596552	1.0
-0.23932157	-0.79603224	-1.0
0.0044816954	-1.572676	1.0
0.54594051	1.617719	1.0
-0.54442933	0.79358562	-1.0
-0.12431329	-0.12225341	-1.0
-0.76348816	-1.0043281	1.0
-0.51128983	0.68160157	-1.0
1.2848975	-1.3686873	1.0
0.64645748	0.86102875	1.0
-0.8062172	-0.61687211	1.0
-0.72223158	-0.62768455	-1.0
0.83871133	0.087668447	-1.0
-0.38578463	1.3337576	1.0
-0.48051071	0.45936232	-1.0
0.74529398	-1.3525321	1.0
0.90010358	1.3081177	1.0
1.4066967	-0.92898136	1.0
1.344818	1.3692194	1.0
-0.37773394	-0.41573153	-1.0
-0.39743487	0.97480791	1.0
0.60259108	-0.32212423	-1.0
-0.63445821	-1.4341496	1.0
0.48243101	0.18528987	-1.0
0.26733621	0.743104	-1.0
-0.55956869	0.036740942	-1.0
1.260016	-0.28967002	1.0
-0.27918985	0.7829112	-1.0
-0.43600724	-1.7314996	1.0
1.0495049	-0.30303493	1.0
1.0287214	-1.3064587	1.0
-0.22349121	0.8637237	-1.0
1.6394565	0.97500415	1.0
1.0391532	1.5935386	1.0
-1.2430797	1.4213809	1.0
1.2978618	-1.3803022	1.0
-0.92120107	0.71131321	1.0
-0.6395292	-0.23665139	-1.0
-0.90395795	0.1322335	-1.0
1.2279607	-1.3808041	1.0
-1.8598402	0.59008732	1.0
1.215421	-0.94171577	1.0
0.084841602	0.10552036	-1.0
0.61714659	-0.36608633	-1.0
